[p=(0.78,0.71);h=3;cr=0.89;n=3]
[p=(0.78,0.71);h=0;cr=0.00;n=0]
[p=(0.15,0.08);h=2;cr=0.56;n=3]
[p=(0.74,0.99);h=2;cr=0.39;n=3]
[p=(0.15,0.08);h=0;cr=0.00;n=0]
[p=(0.28,0.63);h=1;cr=0.30;n=3]
[p=(0.15,0.08);h=1;cr=0.10;n=2]
[p=(0.74,0.99);h=0;cr=0.00;n=0]
[p=(0.67,0.69);h=0;cr=0.00;n=0]
[p=(0.77,0.60);h=1;cr=0.36;n=3]
[p=(0.28,0.63);h=0;cr=0.00;n=0]
[p=(0.01,0.77);h=0;cr=0.00;n=0]
[p=(0.13,0.50);h=0;cr=0.00;n=0]
[p=(0.15,0.08);h=0;cr=0.00;n=0]
[p=(0.24,0.12);h=0;cr=0.00;n=0]
[p=(0.77,0.60);h=0;cr=0.00;n=0]
[p=(0.95,0.29);h=0;cr=0.00;n=0]
[p=(0.78,0.71);h=0;cr=0.00;n=0]
